Date,Team,Relinquished,Notes
2014-05-21,Dodgers,,activated from 15-day DL
2014-05-21,Rays,,activated from 15-day DL
2014-05-21,Reds,,activated from 15-day DL
2014-05-22,Giants,• Santiago Casilla,placed on 15-day DL with strained right hamstring
2014-05-22,Indians,• Nyjer Morgan,transferred to 60-day DL with sprained right knee
2014-05-22,Indians,• Zach McAllister,placed on 15-day DL with strained lower back
2014-05-22,Marlins,• Rafael Furcal,transferred to 60-day DL with strained left hamstring
2014-05-22,Orioles,• Tommy Hunter,placed on 15-day DL with strained left groin
2014-05-22,Padres,• Robbie Erlin,placed on 15-day DL with sore left elbow
2014-05-22,Twins,• Sam Fuld,placed on 15-day DL with concussion
2014-05-22,Pirates,,activated from 15-day DL
2014-05-22,White Sox,,activated from 15-day DL
2014-05-23,Rangers,• Prince Fielder,placed on 15-day DL with herniated disc in neck (surgery)
2014-05-23,Angels,,activated from 15-day DL
2014-05-23,Pirates,,activated from 15-day DL
2014-05-23,Rangers,,activated from 15-day DL
2014-05-24,Cardinals,• Kevin Siegrist,placed on 15-day DL with strained left forearm
2014-05-24,Marlins,• Brad Hand,placed on 15-day DL with sprained right ankle
2014-05-24,Phillies,• Luis Garcia (Amado),placed on 15-day DL with strained right forearm
2014-05-24,Red Sox,• Shane Victorino,placed on 15-day DL with strained right hamstring
2014-05-24,Rockies,• Nolan Arenado,placed on 15-day DL with fractured left middle finger
2014-05-24,Nationals,,activated from 15-day DL
2014-05-25,Dodgers,• Chris Withrow,placed on 15-day DL with forearm injury
2014-05-25,Phillies,• Cody Asche,placed on 15-day DL with strained left hamstring
2014-05-25,Red Sox,• Mike Napoli,placed on 15-day DL with sprained left ring finger
2014-05-25,Twins,,activated from 15-day DL
2014-05-26,Dodgers,• A.J. Ellis,placed on 15-day DL with sprained right ankle
2014-05-26,Mets,• Eric Young Jr.,placed on 15-day DL with strained right hamstring
2014-05-26,Rays,• Brandon Guyer,placed on 15-day DL with fractured left thumb
2014-05-26,Cubs,,activated from 15-day DL
2014-05-26,Royals,,activated from 15-day DL
2014-05-27,Angels,• Sean Burnett,placed on 15-day DL with torn UCL in left elbow
2014-05-27,Indians,• Carlos Santana (b. 1986-04-08),placed on 7-day DL with concussion
2014-05-27,Indians,• Nick Swisher,placed on 15-day DL with hyperextended left knee
2014-05-27,Marlins,• Carter Capps,placed on 15-day DL with sprained right elbow
2014-05-27,Rays,• Matt Moore,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2014-05-28,Dodgers,• Carl Crawford,placed on 15-day DL with sprained left ankle
2014-05-28,Rays,• Ryan Hanigan,placed on 15-day DL with strained right hamstring
2014-05-28,Red Sox,• Clay Buchholz,placed on 15-day DL with hyperextended left knee
2014-05-28,Indians,,activated from 15-day DL
2014-05-28,Rangers,,activated from 15-day DL
2014-05-29,Mets,,activated from 7-day DL
2014-05-30,Cardinals,• Matt Adams,placed on 15-day DL with tightness in left calf
2014-05-30,Giants,• Matt Cain,placed on 15-day DL with strained right hamstring
2014-05-30,Mariners,• Blake Beavan,transferred to 60-day DL with right shoulder tendinitis
2014-05-30,Red Sox,• Ryan Lavarnway,placed on 15-day DL with strained left wrist
2014-05-30,Cubs,,activated from 15-day DL
2014-05-30,Rays,,activated from 15-day DL
2014-05-31,Astros,,activated from 15-day DL
2014-06-01,Diamondbacks,• A.J. Pollock,placed on 15-day DL with fractured hand
2014-06-01,Diamondbacks,• Matt Reynolds (Paul),"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2014-06-01,Marlins,• Jose Fernandez (D.),"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-06-01,Phillies,• Jeff Manship (Michael),placed on 15-day DL with strained right quadriceps
2014-06-01,Rays,• Tim Beckham,transferred to 60-day DL recovering from surgery on right knee to repair torn ACL
2014-06-01,Rays,• Wil Myers,placed on 15-day DL with sprained right wrist
2014-06-01,Red Sox,• Mike Carp,placed on 15-day DL with fractured right foot
2014-06-01,Royals,• Danny Valencia,placed on 15-day DL with sprained left hand
2014-06-01,Marlins,• Jarrod Saltalamacchia,placed on 7-day DL with concussion
2014-06-01,Royals,,activated from 15-day DL
2014-06-02,Mets,• Juan Lagares,placed on 15-day DL with strained right intercostal
2014-06-02,Royals,• Luke Hochevar,"transferred to 60-day DL with ligament replacement (""Tommy John"") surgery on left elbow"
2014-06-02,Orioles,• Johan Santana,placed on 15-day DL recovering from surgery on left shoulder
2014-06-02,White Sox,,activated from 15-day DL
2014-06-03,Angels,• Sean Burnett,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2014-06-03,Athletics,• Josh Reddick,placed on 15-day DL with hyperextended right knee
2014-06-03,Cubs,• Welington Castillo,placed on 15-day DL with left ribcage inflammation
2014-06-03,Diamondbacks,• Cliff Pennington,placed on 15-day DL with sprained ligament in left thumb
2014-06-03,Yankees,• Michael Pineda,transferred to 60-day DL with strained muscle in right shoulder
2014-06-03,Angels,,activated from 15-day DL
2014-06-03,Angels,,activated from 15-day DL
2014-06-03,Athletics,,activated from 15-day DL
2014-06-03,Nationals,,activated from 15-day DL
2014-06-04,Marlins,• Carter Capps,transferred to 60-day DL with sprained right elbow
2014-06-04,Rangers,• Alexi Ogando,placed on 15-day DL with right elbow inflammation
2014-06-04,Rockies,• Carlos Gonzalez (Eduardo),placed on 15-day DL with left finger inflammation
2014-06-04,Brewers,,activated from 15-day DL
2014-06-05,Red Sox,• Ryan Lavarnway,transferred to 60-day DL with fractured left wrist
2014-06-05,Rockies,• Boone Logan,placed on 15-day DL with left elbow inflammation
2014-06-05,Rockies,• Jordan Lyles,placed on 15-day DL with fractured left hand
2014-06-05,Rangers,,activated from 15-day DL
2014-06-05,Red Sox,,activated from 60-day DL
2014-06-05,Yankees,,activated from 15-day DL
2014-06-06,Dodgers,• Chris Withrow,transferred to 60-day DL with torn ulnar collateral ligament in right elbow
2014-06-06,Orioles,• Michael Almanzar,transferred to 60-day DL with patellar tendinitis in left knee
2014-06-06,Orioles,• Miguel Gonzalez (Angel),placed on 15-day DL with strained right oblique
2014-06-06,Padres,• Jedd Gyorko,placed on 15-day DL with plantar fasciitis in left foot
2014-06-06,Giants,,activated from 15-day DL
2014-06-06,Indians,,activated from 7-day DL
2014-06-06,Phillies,,activated from 15-day DL
2014-06-07,Brewers,• Tyler Thornburg,placed on 15-day DL with sore right elbow
2014-06-07,Phillies,• (Jon) Mike Adams,placed on 15-day DL with inflammation in right rotator cuff
2014-06-07,Padres,,activated from 15-day DL
2014-06-08,Pirates,• Gerrit Cole,placed on 15-day DL with right shoulder fatigue
2014-06-08,Orioles,,activated from 15-day DL
2014-06-08,Red Sox,,activated from 15-day DL
2014-06-09,Diamondbacks,• Eric Chavez,placed on 15-day DL with sprained left knee
2014-06-09,Mariners,• James Paxton,transferred to 60-day DL with strained left latissimus dorsi muscle in back
2014-06-09,Orioles,• Johan Santana,transferred to 60-day DL recovering from surgery on left shoulder
2014-06-09,Pirates,• Neil Walker,placed on 15-day DL with appendectomy
2014-06-09,Rockies,• Eddie Butler,placed on 15-day DL with right rotator cuff inflammation
2014-06-09,Rockies,• Michael Cuddyer,placed on 15-day DL with strained left shoulder
2014-06-09,Braves,,activated from 15-day DL
2014-06-09,Diamondbacks,,activated from 15-day DL
2014-06-10,Angels,• Tyler Skaggs,placed on 15-day DL with strained right hamstring
2014-06-10,Diamondbacks,• A.J. Schugel,placed on 15-day DL with right hamstring injury
2014-06-10,Rangers,• Matt Harrison (Reid),transferred to 60-day DL with lower back inflammation
2014-06-10,Rangers,• Mitch Moreland,placed on 15-day DL with surgery on left ankle to repair impingement
2014-06-10,Mariners,,activated from 15-day DL
2014-06-10,Mets,,activated from 15-day DL
2014-06-10,Rays,,activated from 15-day DL
2014-06-10,Reds,,activated from 15-day DL
2014-06-11,Mariners,• Justin Smoak,placed on 15-day DL with strained left quadriceps
2014-06-11,Nationals,• Wilson Ramos,placed on 15-day DL with strained right hamstring
2014-06-11,Pirates,• Francisco Liriano,placed on 15-day DL with strained right / left oblique muscle
2014-06-11,Rangers,• Tanner Scheppers,placed on 15-day DL with right elbow inflammation
2014-06-11,Mariners,,activated from 15-day DL
2014-06-11,Pirates,,activated from 15-day DL
2014-06-11,Yankees,,activated from 15-day DL
2014-06-12,Indians,• Jason Giambi,placed on 15-day DL with left knee inflammation
2014-06-12,Mariners,• Michael Saunders,placed on 15-day DL with inflammation of AC joint in right shoulder
2014-06-12,Indians,,activated from 15-day DL
2014-06-12,Marlins,,activated from 60-day DL
2014-06-13,Cubs,• Emilio Bonifacio,placed on 15-day DL with strained right ribcage
2014-06-13,Diamondbacks,• Ender Inciarte,placed on 7-day DL with concussion
2014-06-13,Twins,• Aaron Hicks,placed on 15-day DL with strained right shoulder
2014-06-13,Cardinals,,activated from 15-day DL
2014-06-13,Cubs,,activated from 15-day DL
2014-06-13,Dodgers,,activated from 15-day DL
2014-06-13,Twins,,activated from 15-day DL
2014-06-14,Dodgers,• Desmond Figgins / Chone Figgins,placed on 15-day DL with strained left quadriceps
2014-06-14,Padres,• Troy Patton,placed on 15-day DL with sore left shoulder
2014-06-14,Reds,• Sean Marshall,placed on 15-day DL with strained left shoulder
2014-06-14,Blue Jays,,activated from 15-day DL
2014-06-14,Brewers,,activated from 15-day DL
2014-06-14,Cubs,,activated from 15-day DL
2014-06-14,Reds,,activated from 60-day DL (CBS E) / 15-day DL (SN)
2014-06-15,Angels,• Fernando Salas,placed on 15-day DL with right shoulder inflammation
2014-06-15,Astros,• Josh Fields (David),placed on 15-day DL with sore right forearm
2014-06-15,Marlins,• Jarrod Saltalamacchia,transferred to 15-day DL with concussion
2014-06-15,Padres,• Nick Vincent,placed on 15-day DL with right shoulder fatigue
2014-06-15,Twins,• Trevor Plouffe,placed on 15-day DL with strained left oblique
2014-06-15,Giants,,activated from 15-day DL
2014-06-16,Diamondbacks,• Bronson Arroyo,placed on 15-day DL with right elbow tendinitis
2014-06-16,Marlins,• Christian Yelich,placed on 15-day DL with strained lower back
2014-06-16,Athletics,,activated from 60-day DL
2014-06-16,Mets,,activated from 15-day DL
2014-06-17,Athletics,• Drew Pomeranz,placed on 15-day DL with fractured right hand
2014-06-17,Braves,• (Darrell) David Carpenter,placed on 15-day DL with strained right biceps
2014-06-17,Blue Jays,,activated from 15-day DL
2014-06-17,Nationals,,activated from 15-day DL
2014-06-17,Orioles,,activated from 15-day DL
2014-06-17,Yankees,,activated from 60-day DL
2014-06-18,Cardinals,,activated from 15-day DL
2014-06-18,Indians,,activated from 15-day DL
2014-06-18,Marlins,,activated from 15-day DL
2014-06-18,Blue Jays,• Brett Cecil,placed on 15-day DL with strained left groin
2014-06-19,Braves,• Pedro Beato,placed on 15-day DL with sore right elbow / right shoulder fatigue
2014-06-19,Diamondbacks,• Daniel Hudson,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-06-19,Padres,• Yonder Alonso,placed on 15-day DL with right wrist tendinitis
2014-06-19,Rays,• David DeJesus,placed on 15-day DL with fractured left hand
2014-06-19,Twins,• Eduardo Nunez,placed on 15-day DL with strained right hamstring
2014-06-19,Twins,• Mike Pelfrey,transferred to 60-day DL with strained left groin
2014-06-19,Rays,,activated from 15-day DL
2014-06-20,Astros,• Jose Cisnero,transferred to 60-day DL with right elbow injury (surgery)
2014-06-20,Braves,• Gavin Floyd,placed on 15-day DL with fractured right elbow
2014-06-20,Phillies,• Reid Brignac,placed on 15-day DL with sprained left ankle
2014-06-20,Rangers,• Prince Fielder,transferred to 60-day DL with herniated disc in neck (surgery)
2014-06-20,Reds,• Sean Marshall,transferred to 60-day DL with strained left shoulder
2014-06-20,Reds,• Trevor Bell,transferred to 60-day DL with right elbow inflammation
2014-06-20,Angels,,activated from 15-day DL
2014-06-20,Diamondbacks,,activated from 7-day DL
2014-06-20,Phillies,,activated from 15-day DL
2014-06-20,Red Sox,,activated from 15-day DL
2014-06-20,Reds,,activated from 60-day DL
2014-06-21,Cardinals,• Kolten Wong,placed on 15-day DL with sore left shoulder
2014-06-21,Marlins,• Rafael Furcal,placed on 15-day DL with strained left hamstring
2014-06-21,Rockies,• Michael Cuddyer,transferred to 60-day DL with strained left shoulder
2014-06-21,Royals,• Bruce Chen,transferred to 60-day DL with inflamed disc in lower back
2014-06-21,Royals,• Norichika Aoki / Nori Aoki,placed on 15-day DL with strained left groin
2014-06-21,Tigers,• Ian Krol,placed on 15-day DL with left shoulder inflammation
2014-06-21,Tigers,• Luke Putkonen,transferred to 60-day DL with right elbow inflammation (surgery)
2014-06-22,Cardinals,• Jaime Garcia (Omar),placed on 15-day DL with left shoulder inflammation
2014-06-22,Cardinals,• Michael Wacha,placed on 15-day DL with stress reaction in right shoulder
2014-06-22,Cubs,,activated from 15-day DL
2014-06-22,Orioles,,activated from 60-day DL
2014-06-22,Royals,,activated from 15-day DL
2014-06-23,Blue Jays,• Brett Lawrie,placed on 15-day DL with fractured right index finger
2014-06-23,Giants,• Ehire Adrianza,placed on 15-day DL with strained right hamstring
2014-06-23,Padres,• Andrew Cashner,placed on 15-day DL with sore right shoulder
2014-06-23,Padres,• Casey Kelly,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-06-23,Rays,• Jerry Sands,placed on 15-day DL with strained left wrist
2014-06-23,Orioles,,activated from 15-day DL
2014-06-23,Phillies,• Tony Gwynn Jr. / Anthony Gwynn,placed on restricted list
2014-06-24,Athletics,• Kyle Blanks,placed on 15-day DL with strained left calf
2014-06-24,Mets,• Taylor Teagarden,placed on 15-day DL with strained left hamstring
2014-06-24,Phillies,• Wilberto Nieves / Wil Nieves,placed on 15-day DL with strained right quadriceps
2014-06-24,Phillies,,activated from restricted list
2014-06-24,Astros,,activated from 15-day DL
2014-06-24,Athletics,,activated from 15-day DL
2014-06-24,Pirates,,activated from 15-day DL
2014-06-24,Royals,,activated from 60-day DL
2014-06-25,Cardinals,• Joe Kelly (William),transferred to 60-day DL with strained left hamstring
2014-06-25,Diamondbacks,• Jordan Pacheco,placed on 15-day DL with right shoulder tendinitis
2014-06-25,Giants,• Angel Pagan,placed on 15-day DL with strained back
2014-06-25,Marlins,• Adeiny Hechavarria,placed on 15-day DL with strained righ triceps
2014-06-25,Rockies,• Christian Bergman,placed on 15-day DL with fractured left hand/thumb
2014-06-25,Mets,,activated from 15-day DL
2014-06-25,Nationals,,activated from 60-day DL
2014-06-25,Red Sox,,activated from 15-day DL
2014-06-25,Rockies,• Christian Bergman,transferred to 60-day DL with fractured left hand/thumb
2014-06-25,Twins,,activated from 15-day DL
2014-06-26,Padres,• Robbie Erlin,transferred to 60-day DL with sore left elbow
2014-06-26,Dodgers,,activated from 15-day DL
2014-06-26,Nationals,,activated from 15-day DL
2014-06-27,Orioles,• David Norris / Bud Norris,placed on 15-day DL with strained right groin
2014-06-27,Phillies,• Carlos Ruiz (a),placed on 7-day DL with concussion
2014-06-27,Twins,• Danny Santana,placed on 15-day DL with bone bruise in left knee
2014-06-27,Mariners,,activated from 15-day DL
2014-06-28,Padres,,activated
2014-06-28,Pirates,,activated from 15-day DL
2014-06-29,Athletics,• Josh Reddick,placed on 15-day DL with strained right knee
2014-06-29,Diamondbacks,• Chris Owings,placed on 15-day DL with strained left shoulder
2014-06-29,Diamondbacks,• Eric Chavez,transferred to 60-day DL with sprained left knee
2014-06-29,Dodgers,• Justin Turner (Matthew),placed on 15-day DL with strained left hamstring
2014-06-29,Marlins,,activated from 15-day DL
2014-06-30,Braves,• Evan Gattis,placed on 15-day DL with bulging thoracic disc in back
2014-06-30,Rockies,• Jhoulys Chacin,placed on 15-day DL with right shoulder inflammation
2014-06-30,Nationals,,activated from 15-day DL
2014-06-30,Orioles,,activated from 60-day DL
2014-06-30,Twins,,activated from 15-day DL
2014-06-30,Twins,,activated from 15-day DL
2014-07-01,Astros,• Dexter Fowler,placed on 15-day DL with strained right intercostal
2014-07-01,Marlins,• A.J. Ramos,placed on 15-day DL with right shoulder inflammation
2014-07-01,Rays,• Yunel Escobar,placed on 15-day DL with sore right shoulder
2014-07-01,Yankees,• C.C. Sabathia,transferred to 60-day DL with sore right knee / fluid in right knee
2014-07-01,Orioles,,activated from 60-day DL
2014-07-02,Padres,• Everth Cabrera,placed on 15-day DL with strained left hamstring
2014-07-02,Padres,• Troy Patton,transferred to 60-day DL with sore left shoulder
2014-07-02,Phillies,• (Jon) Mike Adams,transferred to 60-day DL with inflammation in right rotator cuff / labrum
2014-07-02,Twins,• Joe Mauer,placed on 15-day DL with strained right oblique muscle
2014-07-02,Angels,,activated from 15-day DL
2014-07-02,Astros,,activated from 15-day DL
2014-07-02,Braves,,activated from 15-day DL
2014-07-02,Phillies,,activated from 60-day DL
2014-07-03,Athletics,,activated from 60-day DL
2014-07-03,Marlins,,activated from 15-day DL
2014-07-03,Rockies,,activated from 15-day DL
2014-07-04,Marlins,• Derek Dietrich,placed on 15-day DL with strained right wrist
2014-07-04,Rockies,• Jhoulys Chacin,transferred to 60-day DL with right shoulder inflammation
2014-07-04,Astros,,activated from 15-day DL
2014-07-04,Blue Jays,,activated from 15-day DL
2014-07-04,Giants,,activated from 15-day DL
2014-07-04,Mariners,,activated from 15-day DL
2014-07-04,Mariners,,activated from 15-day DL
2014-07-05,Rockies,,activated from 15-day DL
2014-07-06,Dodgers,• Erisbel Arruebarrena,placed on 15-day DL with strained right hip flexor
2014-07-06,Indians,• Michael Bourn,placed on 15-day DL with strained left hamstring
2014-07-06,Mets,• Jonathon Niese / Jon Niese,placed on 15-day DL with strained left shoulder
2014-07-06,Pirates,• Clint Barmes,placed on 15-day DL with strained left groin
2014-07-06,Rockies,• Nick Masset,placed on 15-day DL with strained patellar tendon in left knee
2014-07-06,Tigers,• Patrick McCoy / Pat McCoy (James),placed on 15-day DL with strained right hamstring
2014-07-06,Angels,,activated from 15-day DL
2014-07-06,Cardinals,,activated from 15-day DL
2014-07-06,Marlins,,activated from 15-day DL
2014-07-06,Tigers,,activated from 15-day DL
2014-07-07,Blue Jays,• Edwin Encarnacion,placed on 15-day DL with strained right quadriceps
2014-07-07,Rays,,activated from 15-day DL
2014-07-07,Red Sox,,activated from 15-day DL
2014-07-08,Astros,• Alex Presley,placed on 15-day DL with strained right oblique muscle
2014-07-08,Dodgers,• Josh Beckett,placed on 15-day DL with left hip impingement
2014-07-08,Indians,• Justin Masterson,placed on 15-day DL with right knee inflammation
2014-07-08,Pirates,• Gerrit Cole,placed on 15-day DL with tightness in right lat
2014-07-08,Rangers,• Nick Martinez,placed on 15-day DL with left side injury
2014-07-08,Reds,• Joey Votto,placed on 15-day DL with strained left quadriceps
2014-07-08,Twins,• Ricky Nolasco,placed on 15-day DL with strained right elbow
2014-07-08,Mets,,activated from 15-day DL
2014-07-08,Orioles,,activated from 15-day DL
2014-07-08,Phillies,,activated from 15-day DL
2014-07-09,Blue Jays,• Cole Gillespie,placed on 15-day DL with strained oblique muscle
2014-07-09,Yankees,• Masahiro Tanaka,placed on 15-day DL with right elbow inflammation
2014-07-09,Giants,,activated from 15-day DL
2014-07-10,Angels,• C.J. Wilson,placed on 15-day DL with sprained right ankle
2014-07-10,Brewers,• Wei-Chung Wang,placed on 15-day DL with tightness in left shoulder
2014-07-10,Cardinals,• Yadier Molina,placed on 15-day DL with torn ligament in right thumb
2014-07-10,Phillies,• Cliff Lee (Phifer),transferred to 60-day DL with strained left elbow
2014-07-10,Royals,• Jason Vargas,placed on 15-day DL with appendectomy
2014-07-10,Yankees,• Carlos Beltran,placed on 7-day DL with concussion
2014-07-10,Dodgers,,activated from 15-day DL
2014-07-11,Blue Jays,• Adam Lind,placed on 15-day DL with fractured right foot
2014-07-11,Cardinals,• Jaime Garcia (Omar),transferred to 60-day DL with surgery on left shoulder
2014-07-11,Mariners,• Michael Saunders,placed on 15-day DL with strained left oblique
2014-07-11,Orioles,• Ubaldo Jimenez,placed on 15-day DL with sprained right ankle
2014-07-11,Phillies,• Carlos Ruiz (a),placed on 15-day DL with concussion
2014-07-11,Reds,• Brandon Phillips,placed on 15-day DL with surgery on left thumb to repair torn ligament
2014-07-11,Reds,• Jared Schumaker / Skip Schumaker,placed on 7-day DL with concussion
2014-07-11,Reds,• Raisel Iglesias,placed on restricted list
2014-07-11,Braves,,activated from 15-day DL
2014-07-11,Cardinals,,activated from 60-day DL
2014-07-11,Diamondbacks,,activated from 15-day DL
2014-07-11,Giants,,activated from 60-day DL
2014-07-11,Rays,,activated from 15-day DL
2014-07-11,Rockies,,activated from 15-day DL
2014-07-11,Royals,,activated from 15-day DL
2014-07-12,Astros,• Collin McHugh,placed on 15-day DL with right middle finger injury
2014-07-12,Athletics,• Alberto Callaspo,placed on 15-day DL with strained right hamstring
2014-07-12,Blue Jays,• Nolan Reimold,placed on 15-day DL with strained left calf
2014-07-12,Indians,• Jason Giambi,transferred to 60-day DL with left knee inflammation
2014-07-13,Angels,• Collin Cowgill,placed on 15-day DL with fractured nose
2014-07-13,Rockies,• Jordan Lyles,transferred to 60-day DL with fractured left hand
2014-07-13,Athletics,,activated from 15-day DL
2014-07-13,Pirates,,activated from 15-day DL
2014-07-13,Rockies,,activated from 60-day DL
2014-07-17,Brewers,• Jeff Bianchi,placed on 15-day DL with strained right elbow
2014-07-17,Rays,• Ryan Hanigan,placed on 15-day DL with strained left oblique
2014-07-17,Rays,• Wil Myers,transferred to 60-day DL with fractured right wrist
2014-07-17,Rangers,,activated from 60-day DL
2014-07-18,Marlins,• Kevin Gregg,placed on 15-day DL with right elbow inflammation
2014-07-18,Dodgers,,activated from 15-day DL
2014-07-18,Marlins,,activated from 15-day DL
2014-07-18,Twins,,activated from 15-day DL
2014-07-18,Yankees,,activated from 7-day DL
2014-07-19,Marlins,• Rafael Furcal,transferred to 60-day DL with torn left hamstring
2014-07-19,Tigers,• Joel Hanrahan,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-07-19,Padres,,activated from 15-day DL
2014-07-19,Red Sox,,activated from 15-day DL
2014-07-19,Rockies,,activated from 15-day DL
2014-07-20,White Sox,• Felipe Paulino Del Guidice / Felipe Paulino,transferred to 60-day DL with right rotator cuff inflammation
2014-07-20,Mets,,activated from 15-day DL
2014-07-20,Reds,,activated from 7-day DL
2014-07-21,Brewers,• Jim Henderson,transferred to 60-day DL with right shoulder inflammation
2014-07-21,Giants,• Brandon Belt,placed on 7-day DL with concussion
2014-07-21,Giants,• Matt Cain,placed on 15-day DL with right elbow inflammation
2014-07-21,Rockies,• Boone Logan,placed on 15-day DL with diverticulitis
2014-07-21,Rockies,• Justin Morneau,placed on 15-day DL with strained neck
2014-07-21,Braves,,activated from 15-day DL
2014-07-21,Phillies,,activated from 60-day DL
2014-07-21,Phillies,,activated from 15-day DL
2014-07-21,Phillies,,activated from 15-day DL
2014-07-21,Rangers,,activated from 15-day DL
2014-07-21,Rockies,,activated from 15-day DL
2014-07-22,Diamondbacks,• Cody Ross,placed on 15-day DL with strained left calf
2014-07-22,Phillies,• John Mayberry Jr.,placed on 15-day DL with left wrist inflammation
2014-07-22,Rangers,• Geovany Soto,placed on 15-day DL with strained right groin
2014-07-22,Rays,• Joel Peralta,placed on 15-day DL with illness
2014-07-22,Reds,• Logan Ondrusek,placed on 15-day DL with strained right shoulder
2014-07-22,Rockies,• Troy Tulowitzki,placed on 15-day DL with strained left hip flexor
2014-07-22,Athletics,,activated from 15-day DL
2014-07-22,Cubs,,activated from 15-day DL
2014-07-22,Dodgers,,activated from 15-day DL
2014-07-22,Rangers,,activated from 15-day DL
2014-07-23,Angels,• Grant Green,placed on 15-day DL with lumbar strain
2014-07-23,Astros,• George Springer,placed on 15-day DL with left quadriceps injury (CBC MLB) / strained right quadriceps (CBS) (out for season)
2014-07-23,Nationals,• Ryan Zimmerman (Wallace),placed on 15-day DL with strained right hamstring
2014-07-23,Pirates,• Starling Marte,placed on 7-day DL with concussion
2014-07-23,Yankees,• Kelly Johnson,placed on 15-day DL with strained left groin
2014-07-23,Cardinals,,activated from 15-day DL
2014-07-23,Mariners,,activated from 60-day DL
2014-07-23,Padres,• Cameron Maybin,placed on restricted list
2014-07-23,Phillies,,activated from 15-day DL
2014-07-24,Mariners,• Willie Bloomquist,placed on 15-day DL with bruised right knee
2014-07-24,Rangers,• Mitch Moreland,transferred to 60-day DL with surgery on left ankle to repair impingement
2014-07-24,White Sox,• Steven Putnam / Zach Putnam,placed on 15-day DL with right shoulder inflammation
2014-07-25,Astros,• Matt Albers,transferred to 60-day DL with right shoulder tendinitis
2014-07-25,Giants,• Ehire Adrianza,placed on 15-day DL with strained right hamstring
2014-07-25,Giants,• Marco Scutaro,placed on 15-day DL with strained lower back
2014-07-25,Rangers,• Jake Smolinski,placed on 15-day DL with bone bruise in left foot
2014-07-25,Rangers,• Kevin Kouzmanoff,transferred to 60-day DL recovering from surgery on back to repair herniated disc
2014-07-25,Nationals,,activated from 60-day DL
2014-07-25,Rangers,,activated from 60-day DL
2014-07-25,Nationals,• Matt Purke,"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on elbow"
2014-07-26,Astros,• Josh Zeid,placed on 15-day DL with bilateral sesamoiditis in left foot
2014-07-26,Giants,• Hector Sanchez,placed on 7-day DL with concussion
2014-07-26,Mets,• Daisuke Matsuzaka,placed on 15-day DL with right elbow inflammation
2014-07-26,Padres,,activated from 15-day DL
2014-07-27,Astros,,activated from 15-day DL
2014-07-27,Athletics,,activated from 15-day DL
2014-07-27,Blue Jays,,activated from 15-day DL
2014-07-27,Dodgers,,activated from 15-day DL
2014-07-27,Reds,,activated from 60-day DL
2014-07-28,Athletics,• Craig Gentry,placed on 15-day DL with fractured right hand
2014-07-28,Padres,• Carlos Quentin,placed on 15-day DL with sore left knee
2014-07-28,Diamondbacks,,activated from 15-day DL
2014-07-28,Padres,,activated from 15-day DL
2014-07-28,Rays,,activated from 15-day DL
2014-07-29,Braves,• Shae Simmons,placed on 15-day DL with strained right shoulder (out for season)
2014-07-29,Cubs,• Neil Ramirez,placed on 15-day DL with sore right triceps
2014-07-29,Dodgers,,activated from 60-day DL
2014-07-29,Padres,,activated from 15-day DL
2014-07-29,Rockies,,activated from 15-day DL
2014-07-29,Rockies,,activated from 15-day DL
2014-07-30,Cardinals,• Michael Wacha,transferred to 60-day DL with stress reaction in right shoulder
2014-07-30,Diamondbacks,,activated from 60-day DL
2014-07-30,Indians,,activated from 15-day DL
2014-07-31,Blue Jays,• Dan Johnson (Ryan),placed on 15-day DL with strained left hamstring
2014-07-31,Braves,• Gavin Floyd,transferred to 60-day DL with fractured right elbow
2014-07-31,Brewers,• Tyler Thornburg,transferred to 60-day DL with sore right elbow
2014-07-31,Cubs,• Felix Doubront,placed on 15-day DL with strained left / right calf
2014-07-31,Phillies,• Cliff Lee (Phifer),placed on 15-day DL with strained left flexor
2014-07-31,Mets,,activated from 15-day DL
2014-07-31,Tigers,,activated from 15-day DL
2014-08-01,Angels,• Tyler Skaggs,placed on 15-day DL with strained left forearm
2014-08-01,Marlins,• Henderson Alvarez,placed on 15-day DL with right shoulder inflammation
2014-08-01,Red Sox,• Shane Victorino,placed on 15-day DL with surgery on lower back
2014-08-01,Royals,• Eric Hosmer,placed on 15-day DL with stress fracture in right hand
2014-08-01,Red Sox,,activated from 15-day DL
2014-08-02,Diamondbacks,• Paul Goldschmidt,placed on 15-day DL with fractured left hand (out for season)
2014-08-02,Dodgers,• Paul Maholm,placed on 15-day DL with torn ACL in right knee
2014-08-02,Mariners,• Corey Hart,placed on 15-day DL with bruised right knee
2014-08-02,Red Sox,• David Ross (Wade),placed on 15-day DL with plantar fasciitis in right foot
2014-08-02,Angels,,activated from 15-day DL
